event_id,timestamp,event_type,username,source_ip,destination_ip,destination_port,protocol,action,success,country
EVT-0068,2026-08-17 07:04:00,authentication,lwilson,10.0.1.11,,,,login,True,UK
EVT-0259,2026-08-17 07:13:00,authentication,lwilson,10.0.1.11,,,,login,True,UK
EVT-0498,2026-08-17 08:06:16,network,,10.0.1.11,10.0.2.11,443.0,TCP,connection,True,
EVT-0254,2026-08-17 08:09:00,authentication,lwilson,10.0.1.14,,,,login,True,UK
EVT-0638,2026-08-17 08:13:10,network,,10.0.1.12,10.0.2.10,443.0,TCP,connection,True,
EVT-0277,2026-08-17 08:23:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0458,2026-08-17 08:34:35,network,,10.0.1.13,10.0.2.10,22.0,TCP,connection,True,
EVT-0079,2026-08-17 08:56:00,authentication,admin01,10.0.1.11,,,,login,True,UK
EVT-0282,2026-08-17 09:15:00,authentication,lwilson,10.0.1.13,,,,login,True,UK
EVT-0309,2026-08-17 09:16:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0364,2026-08-17 09:18:24,network,,10.0.1.14,10.0.2.13,53.0,TCP,connection,True,
EVT-0696,2026-08-17 09:19:18,network,,10.0.1.13,10.0.2.12,443.0,TCP,connection,True,
EVT-0600,2026-08-17 09:29:03,network,,10.0.1.11,10.0.2.13,443.0,TCP,connection,True,
EVT-0040,2026-08-17 09:42:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0312,2026-08-17 09:53:00,authentication,mthomas,10.0.1.14,,,,login,True,UK
EVT-0156,2026-08-17 10:03:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0335,2026-08-17 10:15:00,authentication,jsmith,10.0.1.12,,,,login,True,UK
EVT-0070,2026-08-17 10:19:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0227,2026-08-17 10:22:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0320,2026-08-17 10:22:00,authentication,admin01,10.0.1.11,,,,login,True,UK
EVT-0269,2026-08-17 10:32:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0193,2026-08-17 10:39:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0467,2026-08-17 10:43:59,network,,10.0.1.12,10.0.2.10,53.0,TCP,connection,True,
